npc_name,npc_class,npc_race,npc_level,npc_alignment,npc_gender,npc_age,npc_height,npc_description
Jervis Loadsman,Ninja,Triton,11,Neutral Evil,Male,83,Average,A cunning linguist with nimble fingers
Cassaundra Le Strange,Warlock,Gnome,2,Chaotic Neutral,Genderqueer,96,Short,A cunning detective solving mysteries with ease
Kitti Boddington,Warrior,Tortle,10,Chaotic Neutral,Female,28,Tall,A master of disguise with a talent for blending in
Anton Sermin,Druid,Goliath,8,Neutral Evil,Male,18,Short,A relentless seeker of justice and truth
Gladi Meredyth,Samurai,Kobold,8,Neutral Evil,Female,59,Tall,A skilled diplomat with a knack for negotiation
Fleming Middiff,Paladin,Warforged,4,Chaotic Good,Male,35,Average,A natural-born leader with a commanding presence
Larisa Kimmitt,Mage,Firbolg,15,Lawful Evil,Female,27,Short,A compassionate listener always ready to lend an ear
Welsh Sissot,Warlock,Orc,14,Neutral Good,Male,38,Average,A patient teacher passing on their knowledge to others
Tomasina Dunn,Demon Hunter,Tortle,8,Chaotic Evil,Female,23,Average,A talented musician who can captivate any audience
Rand Purseglove,Priest,Dragonborn,9,Chaotic Neutral,Male,20,Average,A skilled craftsman with a talent for creating masterpieces
Alyosha Pendock,Shaman,Tortle,12,Lawful Evil,Male,34,Short,A free-spirited wanderer with an insatiable wanderlust
Buddie Loudyan,Samurai,Genasi,8,Chaotic Evil,Male,24,Tall,A gentle soul with a deep connection to nature
Evania Orrill,Ninja,Kobold,3,Neutral Good,Female,40,Tall,A gentle soul with a deep connection to nature
Bartolemo McMeekin,Monk,Tortle,9,Neutral Evil,Male,38,Average,A skilled tracker with an uncanny ability to find anything
Tybalt Wilkisson,Hunter,Dwarf,8,Chaotic Good,Male,88,Tall,A mysterious figure shrouded in shadows
Sayers Acreman,Alchemist,Kenku,13,Lawful Evil,Male,100,Short,A quick-thinking problem solver with a logical mind
Matty Brasher,Sorcerer,Orc,3,Chaotic Evil,Female,44,Average,A brave adventurer with a mysterious past
Bertrando Woolard,Death Knight,Aasimar,2,Neutral Good,Male,54,Short,A gentle soul with a deep connection to nature
Laurie Gimson,Priest,Kobold,4,Neutral Evil,Male,76,Tall,A natural-born leader with a commanding presence
Gene Ferrarin,Sorcerer,Kobold,4,Neutral Evil,Bigender,51,Average,A charismatic storyteller with a captivating voice
Barton Gibbett,Priest,Triton,12,True Neutral,Male,21,Tall,A compassionate listener always ready to lend an ear
Maurizio Jedrych,Ninja,Halfling,3,Chaotic Good,Male,27,Short,A charismatic performer who lights up any stage
Vallie Aime,Necromancer,Goblin,7,Chaotic Good,Female,82,Average,A skilled diplomat with a knack for negotiation
Darwin Guido,Thief,Dragonborn,1,Neutral Good,Male,73,Short,A wise mentor guiding others on their path
Torey Blackly,Engineer,Human,13,True Neutral,Male,13,Average,A natural-born leader with a commanding presence
Shannen Eborall,Engineer,Halfling,14,Lawful Evil,Female,31,Short,A charismatic leader with a silver tongue
Graham Edworthye,Rogue,Tiefling,3,True Neutral,Male,89,Tall,A skilled warrior with a heart of gold
Timmy Sagar,Thief,Tortle,2,True Neutral,Female,38,Short,A skilled diplomat with a knack for negotiation
Jacqui Antuk,Druid,Elf,3,Chaotic Neutral,Female,38,Short,A skilled magician performing awe-inspiring tricks
Alison Tumielli,Priest,Tortle,4,True Neutral,Female,96,Short,A curious explorer uncovering ancient secrets
Chastity Saterthwait,Paladin,Aasimar,13,Neutral Good,Female,35,Tall,A fearless daredevil who thrives on adrenaline
Dennet Bilofsky,Samurai,Yuan-Ti,10,Neutral Evil,Male,35,Tall,A natural-born leader with a commanding presence
Julianne Housin,Sorcerer,Elf,8,Lawful Good,Agender,51,Tall,A quick-witted trickster with a clever mind
Cristiano Broose,Samurai,Tiefling,2,Lawful Neutral,Male,48,Tall,A fearless warrior always ready for battle
Munroe Codd,Mage,Elf,3,Neutral Good,Male,32,Short,A fearless hunter tracking down dangerous beasts
Gabriellia Goadbie,Engineer,Goliath,15,Lawful Evil,Female,51,Short,A fearless daredevil who thrives on adrenaline
Adolphe Gon,Monk,Tiefling,15,True Neutral,Male,45,Average,An enigmatic wanderer seeking knowledge and truth
Evie Romaine,Warlock,Goblin,5,Chaotic Good,Female,17,Short,An enigmatic wanderer seeking knowledge and truth
Barry Giacobazzi,Rogue,Aasimar,13,Lawful Good,Female,87,Average,A patient teacher passing on their knowledge to others
Rozalin Khadir,Warlock,Genasi,4,True Neutral,Female,58,Short,A talented musician who can captivate any audience
Stephanie Killock,Priest,Elf,9,Chaotic Good,Polygender,14,Short,A quick-thinking problem solver with a logical mind
Faunie Raulin,Necromancer,Genasi,7,Neutral Good,Female,27,Tall,A skilled diplomat with a knack for negotiation
Dilly Carlow,Engineer,Goliath,12,Chaotic Neutral,Male,33,Tall,A talented musician who can captivate any audience
Annora Hiers,Samurai,Kenku,13,Neutral Evil,Female,22,Average,A fearless hunter tracking down dangerous beasts
Rochelle De Lisle,Samurai,Halfling,8,Chaotic Evil,Female,15,Average,A charismatic storyteller with a captivating voice
Micki Bevington,Monk,Genasi,10,Neutral Evil,Female,71,Average,A cunning linguist with nimble fingers
Orly Steere,Warlock,Tabaxi,3,Chaotic Evil,Non-binary,21,Short,A gentle healer mending both body and soul
Cordey Dust,Paladin,Elf,14,Neutral Evil,Female,83,Short,A skilled diplomat with a knack for negotiation
Samuele Campo,Mage,Genasi,3,Lawful Neutral,Male,74,Tall,A charismatic performer who lights up any stage
Abram Mushett,Thief,Firbolg,8,Lawful Good,Male,16,Average,A charismatic storyteller with a captivating voice
Jard Murcott,Engineer,Elf,5,Chaotic Evil,Male,37,Short,A skilled tracker with an uncanny ability to find anything
Kiel Fassan,Thief,Orc,14,Chaotic Good,Male,27,Short,A skilled craftsman with a talent for creating masterpieces
Lyle Grinsted,Warlock,Kobold,10,True Neutral,Male,43,Average,A compassionate protector of the weak
Tuckie Haylands,Samurai,Tortle,6,Chaotic Evil,Male,31,Short,A skilled diplomat with a knack for negotiation
Dottie Shepherdson,Sorcerer,Warforged,1,Chaotic Neutral,Female,85,Short,A charismatic storyteller with a captivating voice
Elke McConnal,Hunter,Tiefling,12,Chaotic Evil,Female,23,Short,A fearless explorer of uncharted lands
Lilian Blackah,Samurai,Elf,3,Chaotic Good,Female,97,Tall,A skilled diplomat with a knack for negotiation
Vilma Firpi,Paladin,Tortle,9,True Neutral,Female,89,Short,A skilled navigator guiding others through treacherous terrain
Vonny Hearl,Shaman,Dwarf,11,Lawful Neutral,Female,54,Average,An intuitive empath who can understand others' emotions
